ID,Traditional,Source,Start,End,Transcribed,OK
B2L05-1-18,感覺,B2-05-1-2.mp3,134.02,135.62,感覺,1
B2L05-1-19,輕鬆,B2-05-1-2.mp3,158.15,159.81,輕鬆,1
B2L05-1-20,睡著,B2-05-1-2.mp3,171.25,172.81,睡著,1
B2L05-1-21,陽光,B2-05-1-2.mp3,181.98,183.77,陽光,1
B2L05-1-22,香味,B2-05-1-2.mp3,186.25,187.83,香味,1
B2L05-1-23,座,B2-05-1-2.mp3,198.52,199.62,錯,4
B2L05-1-24,球場,B2-05-1-2.mp3,202.85,204.69,球場,1
B2L05-1-25,游泳池,B2-05-1-2.mp3,208.06,210.15,游泳池,1
B2L05-1-26,校友,B2-05-1-2.mp3,222.31,224.0,校友,1
B2L05-1-27,只要,B2-05-1-2.mp3,227.27,228.6,只要,1
B2L05-1-28,請客,B2-05-1-2.mp3,237.81,239.33,請客,1
B2L05-1-29,牛排,B2-05-1-2.mp3,251.73,253.5,牛排,1
B2L05-1-30,紅綠燈,B2-05-1-2.mp3,256.08,258.04,紅綠燈,2
B2L05-2-01,幸福,B2-05-2-2.mp3,4.39,6.14,幸福,1
B2L05-2-02,市,B2-05-2-2.mp3,15.75,16.83,市,1
B2L05-2-03,郊區,B2-05-2-2.mp3,26.11,27.8,郊區,1
B2L05-2-04,長大,B2-05-2-2.mp3,30.83,32.35,長大,2
B2L05-2-05,巴士,B2-05-2-2.mp3,41.19,42.65,巴士,1
B2L05-2-06,還好,B2-05-2-2.mp3,45.47,47.25,還好,1
B2L05-2-07,班,B2-05-2-2.mp3,56.13,57.34,班,1
B2L05-2-08,要不然,B2-05-2-2.mp3,60.35,62.0,要不然,1
B2L05-2-09,麻煩,B2-05-2-2.mp3,75.03,76.78,麻煩,1
B2L05-2-10,經過,B2-05-2-2.mp3,85.15,86.55,經過,1
B2L05-2-11,人員,B2-05-2-2.mp3,96.68,98.35,人員,1
B2L05-2-12,花園,B2-05-2-2.mp3,109.3,110.99,花園,1
B2L05-2-13,新鮮,B2-05-2-2.mp3,114.3,116.22,新鮮,1
B2L05-2-14,像,B2-05-2-2.mp3,126.83,127.94,像,1
B2L05-2-15,書店,B2-05-2-2.mp3,137.51,139.22,書店,1
B2L05-2-16,停車場,B2-05-2-2.mp3,142.51,144.89,停車場,1
B2L05-2-17,停,B2-05-2-2.mp3,148.33,149.66,停,1
B2L05-2-18,圓,B2-05-2-2.mp3,166.69,167.96,圓,1
B2L05-2-19,月亮,B2-05-2-2.mp3,171.4,172.76,月亮,1
B2L05-2-20,月餅,B2-05-2-2.mp3,183.14,184.66,月餅,1
B2L05-2-21,餅,B2-05-2-2.mp3,185.6,186.87,餅,1
B2L05-2-22,真是,B2-05-2-2.mp3,190.2,191.55,真是,1
B2L05-2-23,中秋節,B2-05-2-2.mp3,206.26,208.26,中秋節,1
B2L05-2-24,台北市,B2-05-2-2.mp3,211.04,212.96,台北市,1
B2L06-1-01,不同,B2-06-1-2.mp3,4.35,5.87,不同,1
B2L06-1-02,差不多,B2-06-1-2.mp3,18.79,20.6,差不多,1
B2L06-1-03,不過,B2-06-1-2.mp3,35.61,37.03,不過,1
B2L06-1-04,目的,B2-06-1-2.mp3,47.85,49.17,目的,2
B2L06-1-05,合唱,B2-06-1-2.mp3,58.19,59.69,合唱,1
B2L06-1-06,錯,B2-06-1-2.mp3,69.78,70.74,錯,1
B2L06-1-07,隔壁,B2-06-1-2.mp3,78.9,80.32,隔壁,1
B2L06-1-08,跳,B2-06-1-2.mp3,83.2,84.16,跳,1
B2L06-1-09,地板,B2-06-1-2.mp3,94.7,96.21,地板,1
B2L06-1-10,動,B2-06-1-2.mp3,99.38,100.21,動,1
B2L06-1-11,學會,B2-06-1-2.mp3,115.37,116.81,學會,1
B2L06-1-12,歌曲,B2-06-1-2.mp3,127.44,128.96,歌曲,1
B2L06-1-13,拿手,B2-06-1-2.mp3,132.28,133.95,拿手,1
B2L06-1-14,歌星,B2-06-1-2.mp3,142.29,144.13,歌星,1
B2L06-1-15,想像,B2-06-1-2.mp3,147.57,149.34,想像,1
B2L06-1-16,機器,B2-06-1-2.mp3,160.84,162.32,機器,1
B2L06-1-17,分數,B2-06-1-2.mp3,165.8,167.41,分數,1
B2L06-1-18,可怕,B2-06-1-2.mp3,170.81,172.31,可怕,1
B2L06-1-19,弄錯,B2-06-1-2.mp3,185.1,185.8,錯,5
B2L06-1-20,差,B2-06-1-2.mp3,203.18,204.26,差,1
B2L06-1-21,低,B2-06-1-2.mp3,214.91,215.97,低,1
B2L06-1-22,方法,B2-06-1-2.mp3,227.96,229.61,方法,1
B2L06-1-23,興奮,B2-06-1-2.mp3,238.0,239.63,興奮,1
B2L06-1-24,地,B2-06-1-2.mp3,250.15,250.9,地,3
B2L06-1-25,棒,B2-06-1-2.mp3,260.02,260.98,棒,1
B2L06-1-26,好好/好好兒,B2-06-1-2.mp3,270.48,272.19,好好,1
B2L06-1-27,想到,B2-06-1-2.mp3,286.44,288.07,想到,1
B2L06-1-28,香水,B2-06-1-2.mp3,298.42,300.21,香水,1
B2L06-1-29,束,B2-06-1-2.mp3,303.67,304.83,束,3
B2L06-1-30,玫瑰,B2-06-1-2.mp3,308.22,309.56,玫瑰,1
B2L06-1-31,別,B2-06-1-2.mp3,322.94,324.14,別,1
B2L06-1-32,罐,B2-06-1-2.mp3,331.24,332.18,罐,1
B2L06-1-33,啤酒,B2-06-1-2.mp3,335.89,337.54,啤酒,1
B2L06-1-34,喔,B2-06-1-2.mp3,347.8,348.61,喔,1
B2L06-1-35,消息,B2-06-1-2.mp3,362.04,363.79,消息,1
B2L06-1-36,KTV,B2-06-1-2.mp3,373.56,375.25,KTV,1
B2L06-1-37,吃到飽,B2-06-1-2.mp3,378.06,379.91,吃到飽,1
B2L06-1-38,打分數,B2-06-1-2.mp3,385.1,386.68,打分數,1
B2L06-2-01,不少,B2-06-2-2.mp3,4.35,5.85,不少,1
B2L06-2-02,隨時,B2-06-2-2.mp3,16.95,18.62,隨時,1
B2L06-2-03,前,B2-06-2-2.mp3,28.43,29.93,前,1
B2L06-2-04,後,B2-06-2-2.mp3,30.87,32.05,後,1
B2L06-2-05,才,B2-06-2-2.mp3,45.9,47.4,才,3
B2L06-2-06,假日,B2-06-2-2.mp3,55.81,57.56,假日,1
B2L06-2-07,平日,B2-06-2-2.mp3,59.5,61.13,平日,1
B2L06-2-08,客滿,B2-06-2-2.mp3,63.34,65.44,客滿,1
B2L06-2-09,利用,B2-06-2-2.mp3,78.9,80.52,利用,2
B2L06-2-10,時,B2-06-2-2.mp3,94.89,96.43,時,1
B2L06-2-11,省錢,B2-06-2-2.mp3,110.07,112.26,省錢,1
B2L06-2-12,特色,B2-06-2-2.mp3,127.49,129.18,特色,1
B2L06-2-13,各式各樣,B2-06-2-2.mp3,144.44,147.17,各式各樣,2
B2L06-2-14,不必,B2-06-2-2.mp3,165.96,167.79,不必,1
B2L06-2-15,樂器,B2-06-2-2.mp3,181.84,183.61,樂器,1
B2L06-2-16,讓,B2-06-2-2.mp3,186.4,187.75,讓,1
B2L06-2-17,生氣,B2-06-2-2.mp3,201.18,202.9,生氣,1
B2L06-2-18,傷心,B2-06-2-2.mp3,227.49,229.72,傷心,1
B2L06-2-19,哭,B2-06-2-2.mp3,241.79,243.23,哭,1
B2L06-2-20,選擇,B2-06-2-2.mp3,254.87,257.2,選擇,1
B2L06-2-21,卡拉OK,B2-06-2-2.mp3,270.01,271.91,卡拉OK,1
B2L07-1-01,前年,B2-07-1-2.mp3,4.23,6.04,前年,1
B2L07-1-02,包,B2-07-1-2.mp3,8.81,9.92,包,1
B2L07-1-03,當地,B2-07-1-2.mp3,13.01,14.43,當地,1
B2L07-1-04,名產,B2-07-1-2.mp3,17.39,19.06,名產,1
B2L07-1-05,明信片,B2-07-1-2.mp3,29.25,30.98,明信片,1
B2L07-1-06,訂,B2-07-1-2.mp3,33.92,34.8,訂,1
B2L07-1-07,免費,B2-07-1-2.mp3,44.9,46.4,免費,1
B2L07-1-08,無線網路,B2-07-1-2.mp3,49.32,51.41,無線網路,1
B2L07-1-09,美麗,B2-07-1-2.mp3,63.78,65.13,美麗,1
B2L07-1-10,美,B2-07-1-2.mp3,66.1,67.39,美,1
B2L07-1-11,毛,B2-07-1-2.mp3,78.69,79.8,毛,1
B2L07-1-12,讓,B2-07-1-2.mp3,89.98,90.92,讓,1
B2L07-1-13,正在,B2-07-1-2.mp3,108.17,109.55,正在,1
B2L07-1-14,公路,B2-07-1-2.mp3,118.62,119.93,公路,1
B2L07-1-15,石頭,B2-07-1-2.mp3,123.24,124.69,石頭,1
B2L07-1-16,掉,B2-07-1-2.mp3,128.12,129.14,掉,1
B2L07-1-17,下來,B2-07-1-2.mp3,132.47,133.83,下來,1
B2L07-1-18,一下子/一下,B2-07-1-2.mp3,145.18,146.72,一下子,1
B2L07-1-19,光,B2-07-1-2.mp3,152.45,153.56,光,1
B2L07-1-20,鐵路,B2-07-1-2.mp3,163.5,164.87,鐵路,1
B2L07-1-21,鐵,B2-07-1-2.mp3,165.87,167.16,鐵,1
B2L07-1-22,網頁,B2-07-1-2.mp3,178.81,180.27,網頁,2
B2L07-1-23,訂位,B2-07-1-2.mp3,183.63,184.96,訂位,1
B2L07-1-24,底,B2-07-1-2.mp3,196.53,197.61,底,1
B2L07-1-25,出發,B2-07-1-2.mp3,206.92,208.54,出發,2
B2L07-1-26,國家公園,B2-07-1-2.mp3,221.4,223.62,國家公園,2
B2L07-1-27,爬,B2-07-1-2.mp3,227.12,228.48,爬,2
B2L07-1-28,座位,B2-07-1-2.mp3,242.69,244.04,座位,1
B2L07-1-29,位子,B2-07-1-2.mp3,254.97,256.21,位子,1
B2L07-1-30,記,B2-07-1-2.mp3,270.67,271.6,記,3
B2L07-1-31,日期,B2-07-1-2.mp3,275.1,276.65,日期,3
B2L07-1-32,民宿,B2-07-1-2.mp3,287.9,289.4,民宿,1
B2L07-1-33,蘇花公路,B2-07-1-2.mp3,292.15,294.49,蘇花公路,1
B2L07-1-34,台灣鐵路局/台鐵,B2-07-1-2.mp3,297.67,300.25,台灣鐵路局,2
B2L07-1-35,太魯閣號,B2-07-1-2.mp3,305.07,306.99,太魯閣號,1
B2L07-1-36,掉下來,B2-07-1-2.mp3,312.21,314.44,掉下來,2
B2L07-1-37,記下來,B2-07-1-2.mp3,317.23,318.6,記下來,2
B2L07-2-01,計畫/計劃,B2-07-2-2.mp3,4.27,5.65,計畫,1
B2L07-2-02,春假,B2-07-2-2.mp3,8.39,9.91,春假,1
B2L07-2-03,森林,B2-07-2-2.mp3,13.11,14.84,森林,1
B2L07-2-04,走走,B2-07-2-2.mp3,17.79,19.52,走走,1
B2L07-2-05,草,B2-07-2-2.mp3,28.97,30.4,草,1
B2L07-2-06,暖和,B2-07-2-2.mp3,33.22,34.62,暖和,1
B2L07-2-07,行李,B2-07-2-2.mp3,45.14,46.91,行李,1
B2L07-2-08,大衣,B2-07-2-2.mp3,49.83,51.52,大衣,2
B2L07-2-09,外套,B2-07-2-2.mp3,54.56,55.98,外套,1
B2L07-2-10,雨衣,B2-07-2-2.mp3,67.69,68.65,雨衣,3
B2L07-2-11,內衣,B2-07-2-2.mp3,72.6,74.16,內衣,1
B2L07-2-12,團體,B2-07-2-2.mp3,77.56,79.44,團體,1
B2L07-2-13,自由,B2-07-2-2.mp3,82.82,84.42,自由,1
B2L07-2-14,趕,B2-07-2-2.mp3,98.01,99.09,趕,1
B2L07-2-15,當天,B2-07-2-2.mp3,109.67,111.26,當天,1
B2L07-2-16,留,B2-07-2-2.mp3,123.11,124.3,留,1
B2L07-2-17,國內,B2-07-2-2.mp3,135.55,136.94,國內,1
B2L07-2-18,不少,B2-07-2-2.mp3,151.11,152.61,不少,1
B2L07-2-19,信用卡,B2-07-2-2.mp3,163.02,164.96,信用卡,2
B2L07-2-20,放心,B2-07-2-2.mp3,175.01,176.57,放心,1
B2L07-2-21,趁（著）,B2-07-2-2.mp3,189.0,190.06,趁,1
B2L07-2-22,樣子,B2-07-2-2.mp3,203.81,205.06,樣子,3
B2L07-2-23,成功,B2-07-2-2.mp3,220.04,221.73,成功,3
B2L07-2-24,機票,B2-07-2-2.mp3,241.84,243.32,機票,1
B2L07-2-25,阿里山,B2-07-2-2.mp3,248.42,250.15,阿里山,1
B2L07-2-26,嘉義,B2-07-2-2.mp3,252.85,254.4,嘉義,2
B2L07-2-27,阿里山小火車,B2-07-2-2.mp3,,,,0
B2L07-2-28,遊樂區,B2-07-2-2.mp3,259.59,261.38,遊樂區,1
B2L07-2-29,內衣褲,B2-07-2-2.mp3,264.19,266.05,內衣褲,1
B2L08-1-01,貼紙,B2-08-1-2.mp3,4.35,5.98,貼紙,1
B2L08-1-02,貼,B2-08-1-2.mp3,8.71,9.92,貼,1
B2L08-1-03,豆漿,B2-08-1-2.mp3,18.75,20.27,豆漿,1
B2L08-1-04,盒子,B2-08-1-2.mp3,23.23,24.67,盒子,1
B2L08-1-05,盒,B2-08-1-2.mp3,25.61,26.84,盒,1
B2L08-1-06,店員,B2-08-1-2.mp3,29.87,31.52,店員,1
B2L08-1-07,差,B2-08-1-2.mp3,34.37,35.35,差,1
B2L08-1-08,娃娃,B2-08-1-2.mp3,47.99,49.24,娃娃,1
B2L08-1-09,它,B2-08-1-2.mp3,52.19,53.42,它,1
B2L08-1-10,它們,B2-08-1-2.mp3,54.39,55.64,它們,1
B2L08-1-11,滿,B2-08-1-2.mp3,58.83,60.14,滿,1
B2L08-1-12,連,B2-08-1-2.mp3,74.8,76.05,連,1
B2L08-1-13,得到,B2-08-1-2.mp3,89.25,90.56,得到,1
B2L08-1-14,那樣,B2-08-1-2.mp3,102.1,103.39,那樣,1
B2L08-1-15,海報,B2-08-1-2.mp3,113.65,115.1,海報,2
B2L08-1-16,吸引,B2-08-1-2.mp3,118.43,120.2,吸引,1
B2L08-1-17,商人,B2-08-1-2.mp3,130.87,132.54,商人,1
B2L08-1-18,心理,B2-08-1-2.mp3,135.73,137.5,心理,1
B2L08-1-19,尺,B2-08-1-2.mp3,140.81,142.12,尺,1
B2L08-1-20,牙刷,B2-08-1-2.mp3,145.37,147.16,牙刷,1
B2L08-1-21,卡通人物,B2-08-1-2.mp3,150.75,152.83,卡通人物,1
B2L08-1-22,卡通,B2-08-1-2.mp3,153.77,155.46,卡通,1
B2L08-1-23,人物,B2-08-1-2.mp3,156.41,157.97,人物,1
B2L08-1-24,喜愛,B2-08-1-2.mp3,161.33,163.12,喜愛,2
B2L08-1-25,只好,B2-08-1-2.mp3,173.53,175.07,只好,1
B2L08-1-26,花,B2-08-1-2.mp3,186.27,187.44,花,1
B2L08-1-27,開始,B2-08-1-2.mp3,199.09,200.72,開始,1
B2L08-1-28,為了,B2-08-1-2.mp3,210.93,212.08,為了,1
B2L08-1-29,顧客,B2-08-1-2.mp3,220.93,222.26,顧客,1
B2L08-1-30,變成,B2-08-1-2.mp3,225.47,227.03,變成,1
B2L08-1-31,所有,B2-08-1-2.mp3,240.31,241.94,所有,1
B2L08-1-32,這樣,B2-08-1-2.mp3,254.31,255.81,這樣,1
B2L08-1-33,那樣,B2-08-1-2.mp3,266.09,267.69,那樣,1
B2L08-1-34,類,B2-08-1-2.mp3,285.55,286.64,類,1
B2L08-1-35,影響,B2-08-1-2.mp3,294.17,295.84,影響,1
B2L08-1-36,增加,B2-08-1-2.mp3,303.97,305.47,增加,1
B2L08-1-37,紀念,B2-08-1-2.mp3,315.35,316.65,紀念,1
B2L08-1-38,史努比,B2-08-1-2.mp3,330.03,331.72,史努比,1
B2L08-1-39,一開始,B2-08-1-2.mp3,336.85,338.62,一開始,1
B2L08-1-40,想出（來）,B2-08-1-2.mp3,350.59,352.2,想出,1
B2L08-1-41,吸引力,B2-08-1-2.mp3,358.25,360.06,吸引力,1
B2L08-2-01,變,B2-08-2-2.mp3,4.22,5.17,變,3
B2L08-2-02,打瞌睡,B2-08-2-2.mp3,15.83,17.83,打瞌睡,1
B2L08-2-03,以為,B2-08-2-2.mp3,20.95,22.47,以為,1
B2L08-2-04,發生,B2-08-2-2.mp3,32.43,34.05,發生,1
B2L08-2-05,連續劇,B2-08-2-2.mp3,45.03,46.8,連續劇,1
B2L08-2-06,關係,B2-08-2-2.mp3,49.67,50.99,關係,1
B2L08-2-07,韓式,B2-08-2-2.mp3,61.07,62.64,韓式,1
B2L08-2-08,服裝,B2-08-2-2.mp3,65.51,67.26,服裝,1
B2L08-2-09,帽子,B2-08-2-2.mp3,70.31,71.63,帽子,1
B2L08-2-10,毛衣,B2-08-2-2.mp3,74.77,76.54,毛衣,1
B2L08-2-11,化妝品,B2-08-2-2.mp3,79.81,81.71,化妝品,1
B2L08-2-12,商品,B2-08-2-2.mp3,85.03,86.93,商品,1
B2L08-2-13,化妝,B2-08-2-2.mp3,90.15,91.87,化妝,1
B2L08-2-14,保養,B2-08-2-2.mp3,95.19,96.87,保養,1
B2L08-2-15,後年,B2-08-2-2.mp3,106.55,108.21,後年,1
B2L08-2-16,遊學,B2-08-2-2.mp3,111.47,113.29,遊學,1
B2L08-2-17,影集,B2-08-2-2.mp3,123.07,124.82,影集,1
B2L08-2-18,平常,B2-08-2-2.mp3,128.07,129.91,平常,1
B2L08-2-19,方式,B2-08-2-2.mp3,139.85,141.49,方式,1
B2L08-2-20,改變,B2-08-2-2.mp3,151.86,153.22,改變,2
B2L08-2-21,韓流,B2-08-2-2.mp3,164.94,166.77,韓流,1
B2L08-2-22,韓劇,B2-08-2-2.mp3,169.62,171.18,韓劇,1
B2L08-2-23,日劇,B2-08-2-2.mp3,174.26,175.78,日劇,1
B2L08-2-24,愛上,B2-08-2-2.mp3,181.03,182.55,愛上,1
B2L08-2-25,跟上,B2-08-2-2.mp3,185.37,186.89,跟上,1
B2L09-1-01,鐘,B2-09-1-2.mp3,4.51,5.87,鐘,1
B2L09-1-02,到,B2-09-1-2.mp3,9.21,10.15,到,1
B2L09-1-03,翻,B2-09-1-2.mp3,13.25,14.77,翻,1
B2L09-1-04,頁,B2-09-1-2.mp3,25.5,26.54,頁,3
B2L09-1-05,三明治,B2-09-1-2.mp3,34.72,36.47,三明治,1
B2L09-1-06,門,B2-09-1-2.mp3,39.39,40.58,門,1
B2L09-1-07,課堂,B2-09-1-2.mp3,50.95,52.62,課堂,1
B2L09-1-08,期末,B2-09-1-2.mp3,55.87,57.41,期末,1
B2L09-1-09,口試,B2-09-1-2.mp3,60.59,62.06,口試,1
B2L09-1-10,篇,B2-09-1-2.mp3,82.19,83.55,篇,1
B2L09-1-11,作文,B2-09-1-2.mp3,87.06,88.88,作文,2
B2L09-1-12,用功,B2-09-1-2.mp3,105.17,107.08,用功,2
B2L09-1-13,當,B2-09-1-2.mp3,110.62,111.64,當,1
B2L09-1-14,修,B2-09-1-2.mp3,124.4,126.17,修,2
B2L09-1-15,教授,B2-09-1-2.mp3,129.66,131.01,教授,1
B2L09-1-16,知識,B2-09-1-2.mp3,142.39,143.87,知識,1
B2L09-1-17,豐富,B2-09-1-2.mp3,147.64,149.39,豐富,1
B2L09-1-18,教法,B2-09-1-2.mp3,166.19,167.75,教法,1
B2L09-1-19,系,B2-09-1-2.mp3,178.49,179.61,系,1
B2L09-1-20,文法,B2-09-1-2.mp3,182.92,184.79,文法,2
B2L09-1-21,筆試,B2-09-1-2.mp3,188.01,189.38,筆試,1
B2L09-1-22,交,B2-09-1-2.mp3,207.5,208.77,交,3
B2L09-1-23,報告,B2-09-1-2.mp3,220.02,221.39,報告,1
B2L09-1-24,認真,B2-09-1-2.mp3,231.64,233.22,認真,1
B2L09-1-25,字典,B2-09-1-2.mp3,243.71,245.25,字典,1
B2L09-1-26,翻譯,B2-09-1-2.mp3,248.69,250.08,翻譯,1
B2L09-1-27,翻,B2-09-1-2.mp3,253.59,254.95,翻,4
B2L09-1-28,題,B2-09-1-2.mp3,278.35,279.73,題,2
B2L09-1-29,努力,B2-09-1-2.mp3,290.88,292.36,努力,1
B2L09-1-30,能力,B2-09-1-2.mp3,301.55,302.99,能力,1
B2L09-1-31,將來,B2-09-1-2.mp3,306.41,308.06,將來,1
B2L09-1-32,夠,B2-09-1-2.mp3,318.15,319.04,夠,3
B2L09-1-33,加油,B2-09-1-2.mp3,329.48,331.21,加油,2
B2L09-1-34,義大利,B2-09-1-2.mp3,343.44,344.96,義大利,2
B2L09-1-35,期末考,B2-09-1-2.mp3,350.44,352.42,期末考,3
B2L09-2-01,交換,B2-09-2-2.mp3,4.24,5.72,交換,1
B2L09-2-02,中心,B2-09-2-2.mp3,8.65,10.29,中心,1
B2L09-2-03,漢語,B2-09-2-2.mp3,22.64,24.29,漢語,1
B2L09-2-04,漢字,B2-09-2-2.mp3,27.41,28.91,漢字,1
B2L09-2-05,聲調,B2-09-2-2.mp3,32.02,33.58,聲調,1
B2L09-2-06,部分/部份,B2-09-2-2.mp3,45.49,46.78,部分,1
B2L09-2-07,生字,B2-09-2-2.mp3,49.92,51.42,生字,1
B2L09-2-08,清楚,B2-09-2-2.mp3,54.37,56.02,清楚,1
B2L09-2-09,造句,B2-09-2-2.mp3,70.07,71.47,造句,1
B2L09-2-10,報告,B2-09-2-2.mp3,81.04,82.35,報告,2
B2L09-2-11,表達,B2-09-2-2.mp3,92.85,94.39,表達,1
B2L09-2-12,意見,B2-09-2-2.mp3,97.95,99.2,意見,1
B2L09-2-13,錯字,B2-09-2-2.mp3,110.67,112.17,錯字,1
B2L09-2-14,交,B2-09-2-2.mp3,121.92,123.15,交,1
B2L09-2-15,語法,B2-09-2-2.mp3,134.48,135.96,語法,1
B2L09-2-16,借,B2-09-2-2.mp3,145.97,147.14,借,1
B2L09-2-17,還,B2-09-2-2.mp3,150.13,151.34,還,1
B2L09-2-18,迷路,B2-09-2-2.mp3,162.05,163.34,迷路,1
B2L09-2-19,感動,B2-09-2-2.mp3,175.24,176.57,感動,1
B2L09-2-20,煩惱,B2-09-2-2.mp3,190.48,192.13,煩惱,1
B2L09-2-21,建議,B2-09-2-2.mp3,201.53,202.86,建議,1
B2L09-2-22,華語（文）中心,B2-09-2-2.mp3,214.39,216.56,華語中心,1
B2L10-1-01,健身,B2-10-1-2.mp3,4.49,6.04,健身,1
B2L10-1-02,頭痛,B2-10-1-2.mp3,9.05,10.62,頭痛,1
B2L10-1-03,拉肚子,B2-10-1-2.mp3,19.57,21.01,拉肚子,1
B2L10-1-04,看病,B2-10-1-2.mp3,30.7,32.07,探病,4
B2L10-1-05,老是,B2-10-1-2.mp3,43.32,44.82,老是,1
B2L10-1-06,改,B2-10-1-2.mp3,52.92,54.08,改,1
B2L10-1-07,健身房,B2-10-1-2.mp3,63.05,64.88,健身房,1
B2L10-1-08,從小,B2-10-1-2.mp3,75.47,77.24,從小,1
B2L10-1-09,操場,B2-10-1-2.mp3,88.55,90.13,操場,1
B2L10-1-10,體育,B2-10-1-2.mp3,93.42,94.78,體育,1
B2L10-1-11,腿,B2-10-1-2.mp3,98.18,99.6,腿,1
B2L10-1-12,脖子,B2-10-1-2.mp3,102.58,103.9,脖子,1
B2L10-1-13,死,B2-10-1-2.mp3,107.24,108.64,死,1
B2L10-1-14,誇張,B2-10-1-2.mp3,120.27,121.96,誇張,2
B2L10-1-15,叫,B2-10-1-2.mp3,143.61,144.57,叫,1
B2L10-1-16,救護車,B2-10-1-2.mp3,147.75,149.52,救護車,2
B2L10-1-17,送,B2-10-1-2.mp3,152.65,153.69,送,1
B2L10-1-18,救命,B2-10-1-2.mp3,169.35,170.6,救命,1
B2L10-1-19,救,B2-10-1-2.mp3,177.55,178.61,救,1
B2L10-1-20,照,B2-10-1-2.mp3,190.25,191.15,照,1
B2L10-1-21,教練,B2-10-1-2.mp3,203.05,204.63,教練,1
B2L10-1-22,變,B2-10-1-2.mp3,207.07,208.13,變,1
B2L10-1-23,體重,B2-10-1-2.mp3,216.07,217.75,體重,1
B2L10-1-24,減,B2-10-1-2.mp3,220.45,221.85,減,1
B2L10-1-25,下,B2-10-1-2.mp3,231.09,232.25,下,1
B2L10-1-26,年紀,B2-10-1-2.mp3,241.57,243.15,年紀,1
B2L10-1-27,男人,B2-10-1-2.mp3,252.77,254.77,男人,2
B2L10-1-28,女人,B2-10-1-2.mp3,257.16,259.15,女人,1
B2L10-1-29,老人,B2-10-1-2.mp3,262.15,264.23,老人,2
B2L10-1-30,青菜,B2-10-1-2.mp3,274.02,275.94,青菜,2
B2L10-1-31,漢堡,B2-10-1-2.mp3,278.35,280.23,漢堡,1
B2L10-1-32,薯條,B2-10-1-2.mp3,282.65,284.71,薯條,1
B2L10-1-33,餅乾,B2-10-1-2.mp3,287.15,289.07,餅乾,1
B2L10-1-34,飲食,B2-10-1-2.mp3,291.99,293.95,飲食,1
B2L10-1-35,油,B2-10-1-2.mp3,306.65,307.95,油,1
B2L10-1-36,鹽,B2-10-1-2.mp3,310.05,311.35,鹽,1
B2L10-1-37,可樂,B2-10-1-2.mp3,318.75,320.33,可樂,1
B2L10-1-38,開水,B2-10-1-2.mp3,322.73,324.65,開水,1
B2L10-1-39,來不及,B2-10-1-2.mp3,334.28,336.45,來不及,1
B2L10-1-40,來得及,B2-10-1-2.mp3,337.0,339.15,來得及,1
B2L10-1-41,三餐,B2-10-1-2.mp3,350.25,351.96,三餐,1
B2L10-1-42,餐,B2-10-1-2.mp3,352.95,354.24,餐,1
B2L10-1-43,國王,B2-10-1-2.mp3,363.65,365.59,國王,1
B2L10-1-44,到底,B2-10-1-2.mp3,367.45,369.18,到底,1
B2L10-1-45,活,B2-10-1-2.mp3,379.55,380.95,活,1
B2L10-1-46,訓練,B2-10-1-2.mp3,389.38,390.95,訓練,1
B2L10-1-47,慢跑,B2-10-1-2.mp3,393.75,395.77,慢跑,2
B2L10-1-48,開夜車,B2-10-1-2.mp3,408.19,409.88,開夜車,2
B2L10-2-01,好處,B2-10-2-2.mp3,3.21,4.75,好處,4
B2L10-2-02,壞處,B2-10-2-2.mp3,5.44,7.04,壞處,2
B2L10-2-03,或許,B2-10-2-2.mp3,16.3,18.02,,4
B2L10-2-04,經常,B2-10-2-2.mp3,25.88,27.5,,4
B2L10-2-05,體力,B2-10-2-2.mp3,35.62,37.56,體力,4
B2L10-2-06,力,B2-10-2-2.mp3,44.81,52.94,力,2
B2L10-2-07,精神,B2-10-2-2.mp3,54.6,56.19,精神,4
B2L10-2-08,幫助,B2-10-2-2.mp3,65.12,66.46,幫助,4
B2L10-2-09,改善,B2-10-2-2.mp3,79.38,80.79,,4
B2L10-2-10,情況,B2-10-2-2.mp3,82.4,83.94,情況,4
B2L10-2-11,讓,B2-06-2-2.mp3,186.4,187.75,讓,1
B2L10-2-12,堂,B2-10-2-2.mp3,93.1,94.44,,1
B2L10-2-13,繼續,B2-10-2-2.mp3,103.9,105.5,繼續,4
B2L10-2-14,建議,B2-10-2-2.mp3,122.25,123.52,建議,1
B2L10-2-15,病人,B2-10-2-2.mp3,124.02,140.31,病人,2
B2L10-2-16,病,B2-10-2-2.mp3,124.02,140.31,病,2
B2L10-2-17,恢復,B2-10-2-2.mp3,142.4,143.75,恢復,1
B2L10-2-18,活動,B2-10-2-2.mp3,152.41,153.7,活動,1
B2L10-2-19,難過,B2-10-2-2.mp3,153.65,154.33,,3
B2L10-2-20,脫,B2-10-2-2.mp3,153.65,154.33,,3
B2L10-2-21,牛仔褲,B2-10-2-2.mp3,153.65,154.33,,3
B2L10-2-22,運動服,B2-10-2-2.mp3,153.65,154.33,,3
B2L10-2-23,的話,B2-10-2-2.mp3,153.65,154.33,,3
B2L10-2-24,睡午覺,B2-10-2-2.mp3,153.65,154.33,,3
B2L10-2-25,脫下,B2-10-2-2.mp3,153.65,154.33,,3
B2L11-1-01,社團,B2-11-1-2.mp3,4.19,5.77,社團,1
